Row,Topic,Has Stem,Stem Length,Has Choices,Choice Count,Has Explanation,Difficulty
179,Midgut Volvulus Due to Malrotation,Yes,613,Yes,5,Yes,MEDIUM
180,Pulmonary Embolism,Yes,810,Yes,5,Yes,MEDIUM
181,Power stroke in muscle fiber,Yes,503,Yes,5,Yes,MEDIUM
182,types of fibers in muscle,Yes,703,Yes,5,Yes,MEDIUM
183,Sarcoidosis,Yes,682,Yes,5,Yes,HARD
184,Rett Syndrome,Yes,559,Yes,5,Yes,MEDIUM
185,Tourette Syndrome,Yes,688,Yes,5,Yes,MEDIUM
186,Reactive Attachment Disorder,Yes,652,Yes,5,Yes,MEDIUM
187,Trichotillomania (Hair-Pulling Disorder),Yes,620,Yes,5,Yes,MEDIUM
188,Alpha-1 Antitrypsin Deficiency,Yes,607,Yes,5,Yes,MEDIUM
189,Tay-Sachs Disease,Yes,599,Yes,5,Yes,MEDIUM
190, Xeroderma pigmentosum,Yes,921,Yes,5,Yes,MEDIUM
191,Hypoxemia due to opioid-induced hypoventilation,Yes,675,Yes,5,Yes,MEDIUM
192,Acute Respiratory Distress Syndrome (ARDS),Yes,1050,Yes,5,Yes,MEDIUM
193,Parkinson disease,Yes,1064,Yes,5,Yes,MEDIUM
194,Local anesthetic systemic toxicity due to Bupivacaine,Yes,595,Yes,5,Yes,MEDIUM
195,Acute angle-closure Glaucoma treated with Pilocarpine,Yes,683,Yes,5,Yes,MEDIUM
196,Hypovolemic shock secondary to acute upper GI hemorrhage,Yes,582,Yes,5,Yes,MEDIUM
197,Systemic inflammatory response syndrome (SIRS),Yes,480,Yes,5,Yes,MEDIUM
198,Moderate hypothermia,Yes,518,Yes,5,Yes,MEDIUM
199,Obesity hypoventilation syndrome (Pickwickian syndrome),Yes,650,Yes,5,Yes,MEDIUM
200,Pericardial effusion with early tamponade,Yes,1109,Yes,5,Yes,MEDIUM
201,Left atrial myxoma,Yes,567,Yes,5,Yes,MEDIUM
202,Schizophrenia,Yes,1936,Yes,5,Yes,MEDIUM
203,Schizoaffective Disorder, Bipolar Type,Yes,1906,Yes,5,Yes,MEDIUM
204,Major Depressive Disorder,Yes,1940,Yes,5,Yes,MEDIUM
205,Somatic Symptom Disorder,Yes,2007,Yes,5,Yes,MEDIUM
206, Primary adrenal insufficiency (Addison disease),Yes,600,Yes,5,Yes,MEDIUM
207,Hypertrophic cardiomyopathy (HOCM),Yes,705,Yes,5,Yes,MEDIUM
208, Primary hyperaldosteronism (Conn syndrome),Yes,559,Yes,5,Yes,MEDIUM
209,Acute rheumatic fever,Yes,644,Yes,5,Yes,MEDIUM
210,Syndrome of inappropriate antidiuretic hormone secretion (SIADH),Yes,636,Yes,5,Yes,MEDIUM
211,Bilateral renal agenesis,Yes,974,Yes,5,Yes,MEDIUM
